,dropped,model,best_score_f1
433,"['C5', 'C18']",comnbayes,0.6774241628937375
434,"['C5', 'C18']",svc,0.6567448524234839
435,"['C5', 'C19']",knn,0.6152727684008663
436,"['C5', 'C19']",dt,0.6552321071814273
437,"['C5', 'C19']",gnbayes,0.66331207760017
438,"['C5', 'C19']",comnbayes,0.6879884178860396
439,"['C5', 'C19']",svc,0.6619856229739122
440,"['C5', 'C20']",knn,0.613767734754499
441,"['C5', 'C20']",dt,0.6517193873796236
442,"['C5', 'C20']",gnbayes,0.6713677608065722
443,"['C5', 'C20']",comnbayes,0.6869723279081933
444,"['C5', 'C20']",svc,0.6605254031554444
445,"['C5', 'C21']",knn,0.6001775090533361
446,"['C5', 'C21']",dt,0.645775501292892
447,"['C5', 'C21']",gnbayes,0.6622886951700113
448,"['C5', 'C21']",comnbayes,0.6832581862429289
449,"['C5', 'C21']",svc,0.6424354744252222
450,"['C5', 'C22']",knn,0.6125302238332038
451,"['C5', 'C22']",dt,0.6468085663989497
452,"['C5', 'C22']",gnbayes,0.6694965872644235
453,"['C5', 'C22']",comnbayes,0.6848368273243672
454,"['C5', 'C22']",svc,0.6524715005130884
455,"['C5', 'C23']",knn,0.6279182781533337
456,"['C5', 'C23']",dt,0.647073324221005
457,"['C5', 'C23']",gnbayes,0.6749203375267586
458,"['C5', 'C23']",comnbayes,0.6857198746465596
459,"['C5', 'C23']",svc,0.664383749591265
460,"['C5', 'C24']",knn,0.6187373348483715
461,"['C5', 'C24']",dt,0.6419987972023913
462,"['C5', 'C24']",gnbayes,0.6889067649735506
463,"['C5', 'C24']",comnbayes,0.6865163767155755
464,"['C5', 'C24']",svc,0.6499877873851152
465,"['C5', 'C27']",knn,0.616133533444432
466,"['C5', 'C27']",dt,0.6599880585883074
467,"['C5', 'C27']",gnbayes,0.6721045172530193
468,"['C5', 'C27']",comnbayes,0.6855104729862027
469,"['C5', 'C27']",svc,0.6657760943706368
470,"['C5', 'C28']",knn,0.5970462730600408
471,"['C5', 'C28']",dt,0.6506560637895046
472,"['C5', 'C28']",gnbayes,0.6737353934930581
473,"['C5', 'C28']",comnbayes,0.6894839864777198
474,"['C5', 'C28']",svc,0.6573360130113947
475,"['C5', 'C29']",knn,0.6113587918477621
476,"['C5', 'C29']",dt,0.649252139995357
477,"['C5', 'C29']",gnbayes,0.670395302772971
478,"['C5', 'C29']",comnbayes,0.685405379535535
479,"['C5', 'C29']",svc,0.6672169718104121
480,"['C6', 'C7']",knn,0.5617012646674737
481,"['C6', 'C7']",dt,0.58368256095245
482,"['C6', 'C7']",gnbayes,0.6035009883545267
483,"['C6', 'C7']",comnbayes,0.6455206046178037
484,"['C6', 'C7']",svc,0.5911660687099254
485,"['C6', 'C8']",knn,0.5916051933140416
486,"['C6', 'C8']",dt,0.6529713199506448
487,"['C6', 'C8']",gnbayes,0.6720479087298744
488,"['C6', 'C8']",comnbayes,0.6835792807927202
489,"['C6', 'C8']",svc,0.661970914320121
490,"['C6', 'C9']",knn,0.609808852803245
491,"['C6', 'C9']",dt,0.6070916249937253
492,"['C6', 'C9']",gnbayes,0.6670672130636927
493,"['C6', 'C9']",comnbayes,0.6680519041666446
494,"['C6', 'C9']",svc,0.6612428306177656
495,"['C6', 'C13']",knn,0.6135600762343228
496,"['C6', 'C13']",dt,0.575690940370467
497,"['C6', 'C13']",gnbayes,0.6798130408929676
498,"['C6', 'C13']",comnbayes,0.6706731358571093
499,"['C6', 'C13']",svc,0.6598447674680146
500,"['C6', 'C14']",knn,0.6054106954738517
501,"['C6', 'C14']",dt,0.5937717946212933
502,"['C6', 'C14']",gnbayes,0.6663613416382217
503,"['C6', 'C14']",comnbayes,0.6787769769714062
504,"['C6', 'C14']",svc,0.6725630519441955
505,"['C6', 'C16']",knn,0.5964470080714008
506,"['C6', 'C16']",dt,0.5873673388725441
507,"['C6', 'C16']",gnbayes,0.6665789478466542
508,"['C6', 'C16']",comnbayes,0.67580845652939
509,"['C6', 'C16']",svc,0.6661011548159764
510,"['C6', 'C18']",knn,0.6028230429821194
511,"['C6', 'C18']",dt,0.586770803736483
512,"['C6', 'C18']",gnbayes,0.6661693172691081
513,"['C6', 'C18']",comnbayes,0.6757928498496029
514,"['C6', 'C18']",svc,0.6732521318504664
515,"['C6', 'C19']",knn,0.581870160513487
516,"['C6', 'C19']",dt,0.5974490400423261
517,"['C6', 'C19']",gnbayes,0.6593575616782893
518,"['C6', 'C19']",comnbayes,0.6820493428707545
519,"['C6', 'C19']",svc,0.662854963157054
520,"['C6', 'C20']",knn,0.5914999900302773
521,"['C6', 'C20']",dt,0.6070986138182695
522,"['C6', 'C20']",gnbayes,0.6679159003201359
523,"['C6', 'C20']",comnbayes,0.678517715208783
524,"['C6', 'C20']",svc,0.6731187204402165
525,"['C6', 'C21']",knn,0.5835726038249691
526,"['C6', 'C21']",dt,0.6064193897354898
527,"['C6', 'C21']",gnbayes,0.6674338855255612
528,"['C6', 'C21']",comnbayes,0.6740800692919996
529,"['C6', 'C21']",svc,0.6724738846338791
530,"['C6', 'C22']",knn,0.6000210829747573
531,"['C6', 'C22']",dt,0.5830077852667236
532,"['C6', 'C22']",gnbayes,0.6627275360973898
533,"['C6', 'C22']",comnbayes,0.6768664859775428
534,"['C6', 'C22']",svc,0.6688600083922415
535,"['C6', 'C23']",knn,0.6121126546227094
536,"['C6', 'C23']",dt,0.6070338656554474
537,"['C6', 'C23']",gnbayes,0.6740936544136568
538,"['C6', 'C23']",comnbayes,0.6777946088178429
539,"['C6', 'C23']",svc,0.6926131150033541
540,"['C6', 'C24']",knn,0.6078042453255845
541,"['C6', 'C24']",dt,0.5905393618617237
542,"['C6', 'C24']",gnbayes,0.6707155567362562
543,"['C6', 'C24']",comnbayes,0.6828689926482839
544,"['C6', 'C24']",svc,0.6666091921442163
545,"['C6', 'C27']",knn,0.621412189579643
546,"['C6', 'C27']",dt,0.5922519175314502
547,"['C6', 'C27']",gnbayes,0.6651635083781482
548,"['C6', 'C27']",comnbayes,0.6771289867432315
549,"['C6', 'C27']",svc,0.6774956441021766
550,"['C6', 'C28']",knn,0.5885704900059309
551,"['C6', 'C28']",dt,0.5972543564925453
552,"['C6', 'C28']",gnbayes,0.670858088089061
553,"['C6', 'C28']",comnbayes,0.6913787507317672
554,"['C6', 'C28']",svc,0.6737451462601964
555,"['C6', 'C29']",knn,0.6036540611485426
556,"['C6', 'C29']",dt,0.5910879570826919
557,"['C6', 'C29']",gnbayes,0.6672387554889536
558,"['C6', 'C29']",comnbayes,0.6795538831628066
559,"['C6', 'C29']",svc,0.6620699358866031
560,"['C7', 'C8']",knn,0.5457544327883634
